RPM,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B1S2,O2_B2S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2
2900.25,91,26.25,20.784313725490197,36,39.5,31.372549019607842,13.7,51.0,0.00390625,-0.01953125,0.445,0.445,2.34375,2.34375,1.5625,-2.34375
2922.25,91,26.5,20.784313725490197,36,45.5,30.980392156862745,13.7,52.0,0.03125,-0.0234375,0.445,0.445,5.46875,2.34375,3.125,-2.34375
2977.25,91,26.5,20.784313725490197,36,45.5,30.980392156862745,13.6,53.0,-0.03125,-0.015625,0.445,0.445,4.6875,2.34375,2.34375,-2.34375
3024.25,91,26.75,20.784313725490197,36,45.0,30.980392156862745,13.7,55.0,0.015625,0.01953125,0.445,0.44,3.125,2.34375,1.5625,-2.34375
3070.5,91,27.5,21.176470588235293,36,45.0,30.980392156862745,13.7,55.0,-0.0390625,0.01171875,0.445,0.445,3.125,2.34375,0.78125,-2.34375
3125.0,91,27.75,21.176470588235293,36,45.0,30.980392156862745,13.6,56.0,-0.0234375,-0.046875,0.445,0.445,1.5625,2.34375,0.78125,-2.34375
3168.25,91,27.75,21.176470588235293,36,45.5,30.19607843137255,13.7,57.0,-0.015625,-0.02734375,0.445,0.445,1.5625,2.34375,-0.78125,-2.34375
3224.25,91,27.75,21.176470588235293,36,44.0,30.58823529411765,13.7,57.0,-0.0390625,-0.046875,0.44,0.445,0.78125,2.34375,-0.78125,-2.34375
3248.75,91,28.5,21.176470588235293,36,44.0,30.58823529411765,13.6,58.0,-0.01953125,-0.0546875,0.445,0.445,-0.78125,2.34375,-2.34375,-2.34375
3291.0,91,25.25,20.392156862745097,36,49.5,26.666666666666668,13.6,58.0,0.0,-0.01953125,0.445,0.445,0.78125,2.34375,-0.78125,-2.34375
3310.5,91,23.0,19.215686274509803,36,51.5,21.568627450980394,13.7,60.0,0.01953125,0.05859375,0.445,0.445,1.5625,2.34375,2.34375,-2.34375
3262.25,91,17.75,18.03921568627451,36,52.5,19.215686274509803,13.7,60.0,-0.03515625,-0.0546875,0.445,0.445,0.78125,2.34375,3.125,-2.34375
3289.75,91,17.75,18.03921568627451,36,52.5,19.215686274509803,13.7,60.0,-0.0390625,-0.078125,0.445,0.445,0.0,2.34375,1.5625,-2.34375
3280.5,91,17.25,18.03921568627451,36,52.5,18.431372549019606,13.6,60.0,-0.015625,-0.02734375,0.44,0.445,0.0,2.34375,1.5625,-2.34375
3268.25,91,16.5,17.647058823529413,36,52.5,18.03921568627451,13.6,60.0,-0.01171875,-0.015625,0.445,0.445,0.0,2.34375,1.5625,-2.34375
3265.25,91,16.0,17.647058823529413,36,52.5,18.03921568627451,13.7,60.0,-0.02734375,-0.015625,0.445,0.445,-0.78125,2.34375,1.5625,-2.34375
3257.25,91,16.75,17.647058823529413,36,52.5,18.431372549019606,13.7,58.0,-0.01953125,0.02734375,0.445,0.445,0.0,2.34375,2.34375,-2.34375
3173.75,91,17.0,18.03921568627451,36,11.0,18.431372549019606,13.7,58.0,-0.01171875,-0.01953125,0.44,0.445,0.0,2.34375,0.0,-2.34375
3043.0,91,15.75,17.647058823529413,36,4.5,18.03921568627451,13.7,57.0,2.390625,2.43359375,0.445,0.445,0.0,2.34375,0.0,-2.34375
3037.0,91,15.75,17.647058823529413,36,19.5,18.03921568627451,13.6,56.0,-0.06640625,-0.05078125,0.44,0.445,0.0,2.34375,0.0,-2.34375
3051.75,91,16.0,17.647058823529413,36,29.0,18.03921568627451,13.7,56.0,-0.078125,-0.11328125,0.445,0.445,0.0,2.34375,0.0,-2.34375
3048.0,91,16.25,17.647058823529413,36,27.0,18.03921568627451,13.6,55.0,-0.0859375,-0.12890625,0.44,0.44,0.78125,2.34375,-0.78125,-2.34375
3045.5,91,16.25,17.647058823529413,36,53.0,18.03921568627451,13.6,55.0,-0.140625,-0.11328125,0.445,0.445,-1.5625,2.34375,-2.34375,-2.34375
3032.75,91,16.0,17.647058823529413,36,53.0,18.03921568627451,13.7,55.0,-0.1015625,-0.125,0.445,0.445,-1.5625,2.34375,-2.34375,-2.34375
3034.5,90,16.0,17.647058823529413,36,53.0,18.03921568627451,13.6,55.0,-0.09375,-0.08984375,0.445,0.445,-1.5625,2.34375,-2.34375,-2.34375
3024.25,90,15.75,17.647058823529413,36,53.0,18.03921568627451,13.7,55.0,-0.078125,-0.06640625,0.445,0.445,-0.78125,2.34375,-1.5625,-2.34375
3018.0,90,16.0,17.647058823529413,36,53.0,18.03921568627451,13.7,55.0,-0.12109375,-0.10546875,0.445,0.445,-0.78125,2.34375,-1.5625,-2.34375
3016.25,90,15.75,17.647058823529413,36,53.0,18.03921568627451,13.6,55.0,-0.11328125,-0.1171875,0.445,0.445,-0.78125,2.34375,-2.34375,-2.34375
2995.5,90,15.5,17.647058823529413,36,52.5,18.03921568627451,13.7,55.0,-0.11328125,-0.12890625,0.44,0.445,-1.5625,2.34375,-3.125,-2.34375
