RPM,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B2S2,SHORT_FUEL_TRIM_1,SHORT_FUEL_TRIM_2
2009.25,90,32.75,23.92156862745098,30,29.0,52.15686274509804,13.7,40.0,-0.0546875,-0.01953125,0.45,0.0,0.0
2011.5,90,32.75,23.92156862745098,30,21.0,54.11764705882353,13.7,42.0,-0.09765625,0.03515625,0.45,-0.78125,-0.78125
1815.75,90,30.25,23.92156862745098,30,27.0,56.470588235294116,13.7,42.0,0.078125,0.0390625,0.445,3.90625,1.5625
1845.5,90,32.0,24.313725490196077,30,26.0,56.86274509803921,13.7,43.0,0.01171875,0.02734375,0.445,3.90625,0.78125
1872.5,90,31.75,24.313725490196077,30,25.5,56.86274509803921,13.7,45.0,-0.01171875,0.015625,0.445,1.5625,2.34375
1889.0,90,33.25,24.313725490196077,30,26.0,56.86274509803921,13.7,46.0,-0.0078125,-0.04296875,0.445,0.0,0.78125
1899.25,90,31.5,24.313725490196077,30,27.0,55.68627450980392,13.6,46.0,0.0390625,-0.04296875,0.445,1.5625,-0.78125
1899.25,90,32.5,24.313725490196077,30,27.0,56.07843137254902,13.7,47.0,0.01171875,-0.01953125,0.445,1.5625,-0.78125
1911.5,90,32.0,23.92156862745098,30,27.5,54.509803921568626,13.6,48.0,-0.046875,-0.01953125,0.445,-0.78125,-0.78125
1893.75,90,31.0,23.529411764705884,30,27.5,54.11764705882353,13.7,50.0,0.04296875,-0.02734375,0.445,0.78125,-3.125
1892.5,90,31.25,23.529411764705884,30,27.5,54.11764705882353,13.7,50.0,-0.01953125,0.015625,0.445,0.78125,-2.34375
1900.5,90,30.25,23.529411764705884,29,28.5,52.549019607843135,13.7,51.0,-0.0078125,-0.015625,0.45,-1.5625,-0.78125
1897.5,90,31.0,23.529411764705884,29,28.5,53.333333333333336,13.7,52.0,0.03125,-0.0078125,0.45,0.78125,-0.78125
1907.25,90,30.25,23.529411764705884,29,28.5,52.549019607843135,13.7,52.0,0.01953125,-0.0078125,0.445,1.5625,-2.34375
1912.75,90,30.0,23.529411764705884,29,29.0,52.15686274509804,13.7,53.0,-0.0390625,-0.01171875,0.45,-0.78125,-0.78125
1920.75,90,30.5,23.529411764705884,29,28.5,52.15686274509804,13.6,53.0,-0.03125,-0.0234375,0.45,0.0,-0.78125
1920.75,90,30.25,23.137254901960784,29,29.0,51.76470588235294,13.6,55.0,-0.0078125,-0.0546875,0.45,0.78125,-3.125
1934.75,90,30.25,23.529411764705884,29,29.0,51.76470588235294,13.7,55.0,0.01171875,-0.0078125,0.45,1.5625,-2.34375
1942.0,90,31.0,23.529411764705884,29,29.0,51.76470588235294,13.7,56.0,0.0,-0.0234375,0.45,0.0,-0.78125
1950.0,90,30.5,23.137254901960784,29,29.0,51.76470588235294,13.7,56.0,-0.00390625,-0.04296875,0.445,-0.78125,-1.5625
1954.25,90,30.75,23.137254901960784,29,26.0,51.372549019607845,13.7,57.0,0.03125,-0.01953125,0.45,0.78125,-3.125
1959.75,90,31.25,23.137254901960784,29,26.0,51.372549019607845,13.7,57.0,-0.05859375,0.0234375,0.45,-0.78125,-1.5625
1964.5,90,31.25,23.137254901960784,29,26.0,51.372549019607845,13.7,58.0,0.01953125,-0.03515625,0.45,1.5625,-2.34375
1967.75,90,31.25,23.137254901960784,29,26.0,50.98039215686274,13.6,58.0,0.02734375,-0.02734375,0.45,0.78125,-3.90625
1967.0,90,30.75,23.137254901960784,29,26.0,50.98039215686274,13.6,60.0,-0.03515625,0.0234375,0.45,-0.78125,-1.5625
1914.0,90,30.25,23.137254901960784,29,25.5,52.94117647058823,13.7,60.0,-0.02734375,0.03515625,0.45,0.0,-1.5625
1821.25,90,28.0,22.745098039215687,29,27.0,52.15686274509804,13.7,61.0,0.0390625,0.0,0.45,3.125,-1.5625
1823.5,90,28.5,23.137254901960784,29,25.5,52.15686274509804,13.7,61.0,0.01171875,0.0078125,0.45,2.34375,-0.78125
1828.0,90,28.5,23.137254901960784,29,24.5,52.94117647058823,13.7,61.0,-0.0078125,0.01171875,0.45,3.125,1.5625
1838.25,90,29.75,23.137254901960784,29,24.0,53.333333333333336,13.6,62.0,0.0234375,-0.0234375,0.45,3.90625,-0.78125
1838.75,90,29.25,23.137254901960784,29,24.0,53.333333333333336,13.7,62.0,-0.0234375,-0.04296875,0.46,3.125,-0.78125
1849.25,90,29.5,23.137254901960784,29,24.0,53.333333333333336,13.7,62.0,-0.046875,0.0,0.45,1.5625,0.0
1848.75,90,29.0,23.137254901960784,29,24.0,53.333333333333336,13.6,63.0,0.015625,0.01953125,0.45,1.5625,0.0
1849.75,90,29.25,23.137254901960784,29,24.0,53.333333333333336,13.7,63.0,0.03515625,-0.0234375,0.45,3.125,-1.5625
1851.0,90,29.0,22.745098039215687,29,24.5,51.76470588235294,13.7,63.0,-0.00390625,-0.0234375,0.46,1.5625,-1.5625
1818.75,90,26.5,21.96078431372549,29,26.0,49.80392156862745,13.7,65.0,-0.046875,0.015625,0.46,0.78125,0.0
1806.5,90,25.75,21.96078431372549,29,26.0,49.411764705882355,13.7,65.0,0.02734375,-0.0078125,0.45,1.5625,0.78125
1805.25,90,26.25,21.96078431372549,29,27.0,49.411764705882355,13.7,65.0,0.03125,-0.03515625,0.46,3.90625,-0.78125
1806.5,91,26.0,21.96078431372549,29,26.0,49.411764705882355,13.7,65.0,-0.03515625,-0.046875,0.46,3.90625,-1.5625
1788.25,90,24.25,21.176470588235293,29,27.0,47.84313725490196,13.7,66.0,-0.01171875,0.03515625,0.46,1.5625,0.78125
1766.25,90,24.0,21.176470588235293,29,27.0,46.666666666666664,13.7,66.0,-0.01171875,0.0,0.46,3.90625,0.78125
1768.75,91,23.75,20.784313725490197,29,27.0,44.705882352941174,13.7,66.0,0.00390625,-0.05078125,0.46,3.125,-1.5625
1714.25,91,18.5,18.431372549019606,29,34.5,40.78431372549019,13.7,66.0,-0.11328125,-0.05859375,0.46,-1.5625,-2.34375
1607.0,91,15.75,17.254901960784313,29,34.5,37.64705882352941,13.7,66.0,-0.16796875,-0.15234375,0.46,-4.6875,-7.8125
1537.25,91,15.25,17.254901960784313,29,33.0,38.03921568627451,13.7,66.0,-0.03125,-0.0078125,0.46,-6.25,-7.8125
1528.25,91,15.0,17.254901960784313,29,33.0,36.86274509803921,13.7,66.0,0.01953125,0.05078125,0.46,-5.46875,-3.90625
1504.5,91,14.5,17.254901960784313,29,33.0,36.470588235294116,13.7,66.0,0.05859375,0.0625,0.46,-1.5625,-3.90625
1500.0,91,14.25,16.862745098039216,29,33.0,36.470588235294116,13.7,66.0,0.01953125,0.04296875,0.46,-1.5625,-0.78125
1499.0,91,14.5,16.862745098039216,29,33.0,36.07843137254902,13.6,66.0,0.015625,0.015625,0.465,0.0,0.78125
1502.5,91,14.5,16.862745098039216,29,33.0,36.470588235294116,13.7,66.0,0.01953125,-0.01953125,0.465,0.78125,-0.78125
1508.0,91,14.5,16.862745098039216,29,33.0,36.07843137254902,13.7,66.0,-0.02734375,0.01171875,0.46,-0.78125,0.78125
1508.0,91,14.5,16.862745098039216,29,33.0,35.68627450980392,13.7,66.0,0.01171875,0.05078125,0.46,0.0,1.5625
1502.5,91,14.5,16.862745098039216,29,33.0,36.470588235294116,13.7,66.0,0.01171875,-0.01953125,0.465,2.34375,2.34375
1510.0,91,14.5,16.862745098039216,29,33.0,36.07843137254902,13.7,66.0,-0.01171875,-0.0078125,0.465,1.5625,0.78125
1502.5,91,14.25,16.862745098039216,29,33.0,36.07843137254902,13.6,66.0,-0.0390625,-0.03515625,0.465,1.5625,0.0
1504.5,91,14.5,16.862745098039216,29,33.0,36.07843137254902,13.6,66.0,0.0078125,0.00390625,0.465,0.78125,2.34375
1501.25,91,13.25,16.862745098039216,29,34.5,34.90196078431372,13.7,67.0,0.0234375,-0.015625,0.465,2.34375,0.78125
1484.75,91,13.75,16.470588235294116,29,34.5,34.90196078431372,13.7,66.0,-0.02734375,0.0,0.46,0.78125,2.34375
1468.5,91,12.75,16.470588235294116,29,34.5,33.72549019607843,13.7,66.0,0.0234375,0.01953125,0.465,3.125,3.125
1455.0,91,12.75,16.470588235294116,29,34.5,33.72549019607843,13.7,66.0,0.01171875,-0.015625,0.46,3.90625,2.34375
1445.25,91,12.75,16.470588235294116,29,34.5,33.72549019607843,13.7,66.0,-0.0234375,-0.0078125,0.465,3.90625,2.34375
1448.25,91,12.75,16.470588235294116,29,34.5,33.72549019607843,13.7,66.0,-0.0546875,-0.05859375,0.465,0.78125,2.34375
1441.5,91,12.25,16.07843137254902,29,35.0,32.549019607843135,13.6,66.0,-0.0234375,-0.05078125,0.46,1.5625,0.0
1423.75,91,12.25,16.07843137254902,29,35.0,32.94117647058823,13.7,66.0,-0.03515625,0.03125,0.465,0.0,2.34375
