date, COOLANT_TEMP, MAF, THROTTLE_POS, INTAKE_TEMP, TIMING_ADVANCE, ENGINE_LOAD, ELM_VOLTAGE, SPEED, O2_S1_WR_CURRENT, O2_S5_WR_CURRENT, O2_B1S2, O2_B2S2, SHORT_FUEL_TRIM_1, LONG_FUEL_TRIM_1, SHORT_FUEL_TRIM_2, LONG_FUEL_TRIM_2, 
2021-08-23_16:13:50.443550, 93 degC, 17.0 gps, 18.03921568627451 percent, 33 degC, 31.5 degree, 40.78431372549019 percent, 13.7 volt, 77.0 kph, 0.0625 milliampere, 0.02734375 milliampere, None, None, None, None, None, None, 
2021-08-23_16:13:50.944165, 93 degC, 17.0 gps, 18.03921568627451 percent, 33 degC, 31.5 degree, 40.78431372549019 percent, 13.7 volt, 77.0 kph, 0.0625 milliampere, 0.02734375 milliampere, 0.445 volt, 0.64 volt, -0.78125 percent, 5.46875 percent, -2.34375 percent, 0.78125 percent, 
2021-08-23_16:13:51.444258, 93 degC, 17.5 gps, 18.431372549019606 percent, 33 degC, 30.0 degree, 44.31372549019608 percent, 13.6 volt, 77.0 kph, 0.01171875 milliampere, -0.03125 milliampere, 0.445 volt, 0.64 volt, -0.78125 percent, 5.46875 percent, -2.34375 percent, 0.78125 percent, 
2021-08-23_16:13:51.944215, 93 degC, 17.5 gps, 18.431372549019606 percent, 33 degC, 30.0 degree, 44.31372549019608 percent, 13.6 volt, 77.0 kph, 0.01171875 milliampere, -0.03125 milliampere, 0.445 volt, 0.64 volt, 0.78125 percent, 5.46875 percent, 0.0 percent, 0.78125 percent, 
2021-08-23_16:13:52.444255, 93 degC, 18.0 gps, 18.823529411764707 percent, 33 degC, 24.0 degree, 46.27450980392157 percent, 13.6 volt, 77.0 kph, -0.046875 milliampere, -0.01953125 milliampere, 0.445 volt, 0.64 volt, 0.78125 percent, 5.46875 percent, 0.0 percent, 0.78125 percent, 
2021-08-23_16:13:52.944197, 93 degC, 18.0 gps, 18.823529411764707 percent, 33 degC, 24.0 degree, 46.27450980392157 percent, 13.6 volt, 77.0 kph, -0.046875 milliampere, -0.01953125 milliampere, 0.445 volt, 0.64 volt, -1.5625 percent, 5.46875 percent, 0.78125 percent, 0.78125 percent, 
2021-08-23_16:13:53.444187, 93 degC, 18.5 gps, 18.823529411764707 percent, 33 degC, 22.5 degree, 46.666666666666664 percent, 13.6 volt, 78.0 kph, -0.0546875 milliampere, 0.015625 milliampere, 0.445 volt, 0.635 volt, -1.5625 percent, 5.46875 percent, 0.78125 percent, 0.78125 percent, 
2021-08-23_16:13:53.944146, 93 degC, 20.75 gps, 20.0 percent, 33 degC, 21.5 degree, 46.666666666666664 percent, 13.6 volt, 78.0 kph, -0.0546875 milliampere, 0.015625 milliampere, 0.445 volt, 0.635 volt, -1.5625 percent, 5.46875 percent, -1.5625 percent, 0.78125 percent, 
2021-08-23_16:13:54.444111, 93 degC, 20.75 gps, 20.0 percent, 33 degC, 21.5 degree, 51.372549019607845 percent, 13.6 volt, 78.0 kph, 0.01171875 milliampere, -0.015625 milliampere, 0.445 volt, 0.635 volt, 1.5625 percent, 5.46875 percent, -1.5625 percent, 0.78125 percent, 
2021-08-23_16:13:54.944132, 93 degC, 24.25 gps, 22.352941176470587 percent, 33 degC, 18.0 degree, 61.1764705882353 percent, 13.6 volt, 78.0 kph, 0.0234375 milliampere, 0.00390625 milliampere, 0.445 volt, 0.635 volt, 1.5625 percent, 5.46875 percent, -1.5625 percent, 0.78125 percent, 
