date, COOLANT_TEMP, MAF, THROTTLE_POS, INTAKE_TEMP, TIMING_ADVANCE, ENGINE_LOAD, ELM_VOLTAGE, SPEED, O2_S1_WR_CURRENT, O2_S5_WR_CURRENT, O2_B1S2, O2_B2S2, SHORT_FUEL_TRIM_1, LONG_FUEL_TRIM_1, SHORT_FUEL_TRIM_2, LONG_FUEL_TRIM_2, 
2021-08-23_16:23:11.769505, 93 degC, 20.75 gps, 19.215686274509803 percent, 33 degC, 33.0 degree, 40.3921568627451 percent, 13.7 volt, 92.0 kph, -0.00390625 milliampere, -0.015625 milliampere, 0.445 volt, None, None, None, None, None, 
2021-08-23_16:23:12.269275, 93 degC, 20.75 gps, 19.215686274509803 percent, 33 degC, 33.0 degree, 40.3921568627451 percent, 13.7 volt, 92.0 kph, -0.00390625 milliampere, -0.015625 milliampere, 0.445 volt, 0.71 volt, -2.34375 percent, 3.125 percent, -1.5625 percent, -0.78125 percent, 
2021-08-23_16:23:12.768290, 93 degC, 19.75 gps, 18.823529411764707 percent, 33 degC, 34.5 degree, 40.0 percent, 13.6 volt, 91.0 kph, -0.01953125 milliampere, -0.01171875 milliampere, 0.445 volt, 0.71 volt, -2.34375 percent, 3.125 percent, -1.5625 percent, -0.78125 percent, 
2021-08-23_16:23:13.268307, 93 degC, 20.0 gps, 19.215686274509803 percent, 33 degC, 34.5 degree, 40.0 percent, 13.6 volt, 91.0 kph, -0.01953125 milliampere, -0.01171875 milliampere, 0.445 volt, 0.71 volt, -0.78125 percent, 3.125 percent, -1.5625 percent, -0.78125 percent, 
2021-08-23_16:23:13.768362, 93 degC, 20.0 gps, 19.215686274509803 percent, 33 degC, 33.0 degree, 41.1764705882353 percent, 13.7 volt, 91.0 kph, 0.01953125 milliampere, -0.0546875 milliampere, 0.445 volt, 0.71 volt, 0.0 percent, 3.125 percent, -2.34375 percent, -0.78125 percent, 
2021-08-23_16:23:14.268371, 93 degC, 24.25 gps, 21.176470588235293 percent, 33 degC, 24.0 degree, 50.588235294117645 percent, 13.7 volt, 90.0 kph, -0.0625 milliampere, -0.15234375 milliampere, 0.445 volt, 0.72 volt, 0.0 percent, 3.125 percent, -2.34375 percent, -0.78125 percent, 
2021-08-23_16:23:14.768364, 94 degC, 29.0 gps, 22.745098039215687 percent, 33 degC, 24.0 degree, 50.588235294117645 percent, 13.7 volt, 90.0 kph, -0.0625 milliampere, -0.15234375 milliampere, 0.445 volt, 0.72 volt, -3.125 percent, 3.125 percent, -5.46875 percent, -0.78125 percent, 
2021-08-23_16:23:15.268390, 94 degC, 29.0 gps, 22.745098039215687 percent, 33 degC, 20.0 degree, 60.0 percent, 13.6 volt, 90.0 kph, 0.01953125 milliampere, 0.0 milliampere, 0.445 volt, 0.71 volt, -2.34375 percent, 3.125 percent, -3.125 percent, -0.78125 percent, 
2021-08-23_16:23:15.768417, 94 degC, 28.25 gps, 22.745098039215687 percent, 33 degC, 20.0 degree, 59.6078431372549 percent, 13.7 volt, 88.0 kph, 0.0078125 milliampere, 0.01953125 milliampere, 0.445 volt, 0.71 volt, -2.34375 percent, 3.125 percent, -3.125 percent, -0.78125 percent, 
2021-08-23_16:23:16.268419, 94 degC, 28.0 gps, 22.745098039215687 percent, 33 degC, 20.0 degree, 59.6078431372549 percent, 13.7 volt, 88.0 kph, 0.0078125 milliampere, 0.01953125 milliampere, 0.445 volt, 0.71 volt, -0.78125 percent, 3.125 percent, -2.34375 percent, -0.78125 percent, 
2021-08-23_16:23:16.768449, 94 degC, 28.0 gps, 22.745098039215687 percent, 33 degC, 20.0 degree, 59.21568627450981 percent, 13.6 volt, 88.0 kph, -0.03125 milliampere, -0.015625 milliampere, 0.445 volt, 0.71 volt, -1.5625 percent, 3.125 percent, -0.78125 percent, -0.78125 percent, 
2021-08-23_16:23:17.268466, 94 degC, 27.75 gps, 22.745098039215687 percent, 33 degC, 21.5 degree, 58.8235294117647 percent, 13.7 volt, 88.0 kph, 0.03515625 milliampere, -0.01171875 milliampere, 0.445 volt, 0.71 volt, 0.0 percent, 3.125 percent, -0.78125 percent, -0.78125 percent, 
2021-08-23_16:23:17.768520, 94 degC, 27.0 gps, 22.352941176470587 percent, 33 degC, 21.5 degree, 58.8235294117647 percent, 13.7 volt, 88.0 kph, 0.03515625 milliampere, -0.01171875 milliampere, 0.445 volt, 0.71 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:18.268640, 94 degC, 27.0 gps, 22.352941176470587 percent, 33 degC, 21.5 degree, 59.6078431372549 percent, 13.6 volt, 88.0 kph, -0.03125 milliampere, -0.01953125 milliampere, 0.445 volt, 0.72 volt, -3.125 percent, 3.125 percent, -0.78125 percent, -0.78125 percent, 
2021-08-23_16:23:18.768659, 94 degC, 14.25 gps, 16.470588235294116 percent, 33 degC, 13.5 degree, 35.68627450980392 percent, 13.6 volt, 87.0 kph, -0.046875 milliampere, 0.01171875 milliampere, 0.445 volt, 0.71 volt, -3.125 percent, 3.125 percent, -0.78125 percent, -0.78125 percent, 
2021-08-23_16:23:19.268593, 94 degC, 7.75 gps, 14.117647058823529 percent, 33 degC, 16.5 degree, 35.68627450980392 percent, 13.6 volt, 87.0 kph, -0.046875 milliampere, 0.01171875 milliampere, 0.445 volt, 0.71 volt, -3.125 percent, 3.125 percent, -1.5625 percent, -0.78125 percent, 
2021-08-23_16:23:19.768525, 94 degC, 7.75 gps, 14.117647058823529 percent, 33 degC, 16.5 degree, 18.823529411764707 percent, 13.7 volt, 86.0 kph, 0.00390625 milliampere, 0.00390625 milliampere, 0.445 volt, 0.72 volt, -3.125 percent, 3.125 percent, -2.34375 percent, -0.78125 percent, 
2021-08-23_16:23:20.268479, 94 degC, 7.75 gps, 14.117647058823529 percent, 33 degC, -3.0 degree, 17.647058823529413 percent, 13.7 volt, 83.0 kph, 0.02734375 milliampere, 0.04296875 milliampere, 0.445 volt, 0.71 volt, 0.0 percent, 3.125 percent, -2.34375 percent, -0.78125 percent, 
2021-08-23_16:23:20.768104, 94 degC, 7.5 gps, 14.117647058823529 percent, 33 degC, -3.0 degree, 17.647058823529413 percent, 13.7 volt, 83.0 kph, 0.02734375 milliampere, 0.04296875 milliampere, 0.445 volt, 0.71 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:21.268497, 94 degC, 7.5 gps, 14.117647058823529 percent, 33 degC, -3.0 degree, 17.647058823529413 percent, 13.6 volt, 81.0 kph, 2.12109375 milliampere, 2.19140625 milliampere, 0.445 volt, 0.695 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:21.768428, 94 degC, 7.0 gps, 13.72549019607843 percent, 33 degC, -4.0 degree, 17.647058823529413 percent, 13.6 volt, 78.0 kph, 2.4765625 milliampere, 2.1953125 milliampere, 0.445 volt, 0.405 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:22.268375, 94 degC, 6.75 gps, 13.72549019607843 percent, 33 degC, -4.0 degree, 17.647058823529413 percent, 13.6 volt, 78.0 kph, 2.4765625 milliampere, 2.1953125 milliampere, 0.445 volt, 0.405 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:22.768470, 94 degC, 6.75 gps, 13.72549019607843 percent, 33 degC, -3.0 degree, 17.647058823529413 percent, 13.6 volt, 76.0 kph, 2.44921875 milliampere, 2.25390625 milliampere, 0.445 volt, 0.385 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:23.268556, 95 degC, 6.75 gps, 13.72549019607843 percent, 33 degC, -4.5 degree, 18.03921568627451 percent, 13.6 volt, 73.0 kph, 2.4609375 milliampere, 2.4296875 milliampere, 0.445 volt, 0.37 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:23.768568, 95 degC, 5.75 gps, 12.941176470588236 percent, 33 degC, -4.5 degree, 18.03921568627451 percent, 13.6 volt, 73.0 kph, 2.4609375 milliampere, 2.4296875 milliampere, 0.445 volt, 0.37 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:24.268605, 95 degC, 5.75 gps, 12.941176470588236 percent, 33 degC, 1.5 degree, 20.392156862745097 percent, 13.6 volt, 70.0 kph, 2.25390625 milliampere, 2.38671875 milliampere, 0.445 volt, 0.36 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:24.768667, 95 degC, 11.5 gps, 15.294117647058824 percent, 33 degC, 3.0 degree, 32.94117647058823 percent, 13.7 volt, 68.0 kph, -0.42578125 milliampere, -0.390625 milliampere, 0.445 volt, 0.35 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:25.268677, 95 degC, 5.5 gps, 13.333333333333334 percent, 33 degC, 3.0 degree, 32.94117647058823 percent, 13.7 volt, 68.0 kph, -0.42578125 milliampere, -0.390625 milliampere, 0.445 volt, 0.35 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:25.768606, 95 degC, 5.5 gps, 13.333333333333334 percent, 33 degC, 32.0 degree, 23.529411764705884 percent, 13.6 volt, 67.0 kph, -0.22265625 milliampere, -0.19140625 milliampere, 0.445 volt, 0.345 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:26.268792, 95 degC, 35.5 gps, 25.098039215686274 percent, 33 degC, 15.5 degree, 61.96078431372549 percent, 13.7 volt, 66.0 kph, 0.0859375 milliampere, 0.0703125 milliampere, 0.445 volt, 0.345 volt, 0.0 percent, 3.125 percent, 0.0 percent, -0.78125 percent, 
2021-08-23_16:23:26.768779, 95 degC, 40.25 gps, 26.666666666666668 percent, 33 degC, 15.5 degree, 61.96078431372549 percent, 13.7 volt, 66.0 kph, 0.0859375 milliampere, 0.0703125 milliampere, 0.445 volt, 0.34 volt, -0.78125 percent, 3.125 percent, 0.78125 percent, -0.78125 percent, 
2021-08-23_16:23:27.268796, 95 degC, 40.25 gps, 26.666666666666668 percent, 33 degC, 18.5 degree, 63.13725490196079 percent, 13.6 volt, 66.0 kph, -0.0625 milliampere, -0.03125 milliampere, 0.445 volt, 0.345 volt, 0.0 percent, 3.125 percent, 2.34375 percent, -0.78125 percent, 
