RPM,FuelLoad,VE_Current,Lambda_Target,Lambda_Measured,Lambda_Error,CLT,MAT,Lambda_Error_Abs
2132.0,34.0,30.313333333333333,1.0717948717948718,0.985,-0.08098086124401913,77.0,-25.0,0.08098086124401913
2140.0,32.0,28.766666666666666,1.0743589743589745,0.992,-0.07665871121718393,77.0,-25.0,0.07665871121718393
2132.0,33.0,29.48,1.0730769230769233,0.992,-0.07555555555555572,77.0,-25.0,0.07555555555555572
2122.0,33.0,29.33,1.0730769230769233,0.915,-0.14731182795698936,77.0,-25.0,0.14731182795698936
2104.0,34.0,29.893333333333338,1.071794871794872,1.0,-0.06698564593301452,77.0,-25.0,0.06698564593301452
2091.0,33.0,28.865,1.0730769230769233,1.0,-0.06810035842293923,77.0,-25.0,0.06810035842293923
2080.0,33.0,28.700000000000003,1.073076923076923,0.931,-0.1324014336917562,77.0,-25.0,0.1324014336917562
2092.0,33.0,28.880000000000003,1.0730769230769233,1.0,-0.06810035842293923,77.0,-25.0,0.06810035842293923
2104.0,33.0,29.060000000000002,1.073076923076923,0.985,-0.08207885304659496,77.0,-25.0,0.08207885304659496
2109.0,34.0,29.968333333333334,1.071794871794872,0.938,-0.12483253588516767,77.0,-25.0,0.12483253588516767
2084.0,33.0,28.76,1.0730769230769233,1.008,-0.060645161290322734,77.0,-25.0,0.060645161290322734
2080.0,33.0,28.700000000000003,1.073076923076923,1.023,-0.04666666666666672,77.0,-25.0,0.04666666666666672
2066.0,34.0,29.323333333333334,1.0717948717948718,1.023,-0.04552631578947374,77.0,-25.0,0.04552631578947374
2056.0,33.0,28.34,1.0730769230769233,1.031,-0.03921146953405042,77.0,-25.0,0.03921146953405042
2060.0,34.0,29.233333333333334,1.0717948717948718,1.031,-0.038062200956937846,77.0,-25.0,0.038062200956937846
2071.0,33.0,28.564999999999998,1.0730769230769233,1.038,-0.03268817204301089,77.0,-25.0,0.03268817204301089
2074.0,34.0,29.443333333333328,1.071794871794872,1.031,-0.03806220095693805,77.0,-25.0,0.03806220095693805
2057.0,34.0,29.18833333333334,1.071794871794872,1.031,-0.03806220095693805,77.0,-25.0,0.03806220095693805
2048.0,34.0,29.053333333333335,1.0717948717948718,1.038,-0.03153110047846884,76.0,-25.0,0.03153110047846884
2041.0,34.0,28.948333333333334,1.071794871794872,1.038,-0.03153110047846904,76.0,-25.0,0.03153110047846904
2040.0,34.0,28.933333333333337,1.0717948717948718,1.023,-0.04552631578947374,76.0,-25.0,0.04552631578947374
2032.0,35.0,29.646666666666665,1.0705128205128207,1.038,-0.030371257485030084,76.0,-25.0,0.030371257485030084
2024.0,34.0,28.69333333333333,1.0717948717948718,1.046,-0.024066985645932945,76.0,-25.0,0.024066985645932945
2028.0,35.0,29.586666666666666,1.0705128205128207,1.038,-0.030371257485030084,76.0,-25.0,0.030371257485030084
2020.0,34.0,28.633333333333333,1.0717948717948718,1.038,-0.03153110047846884,76.0,-25.0,0.03153110047846884
2017.0,35.0,29.421666666666667,1.0705128205128205,1.038,-0.030371257485029883,76.0,-25.0,0.030371257485029883
2014.0,34.0,28.543333333333333,1.0717948717948718,1.038,-0.03153110047846884,76.0,-25.0,0.03153110047846884
2010.0,35.0,29.316666666666666,1.0705128205128205,1.023,-0.04438323353293419,76.0,-25.0,0.04438323353293419
2005.0,35.0,29.241666666666667,1.0705128205128207,0.938,-0.12378443113772476,76.0,-25.0,0.12378443113772476
2001.0,34.0,28.348333333333336,1.071794871794872,1.015,-0.05299043062200983,76.0,-25.0,0.05299043062200983
1990.0,36.0,30.075,1.0692307692307692,1.0,-0.0647482014388489,76.0,-25.0,0.0647482014388489
1986.0,35.0,29.27166666666667,1.0705128205128205,0.946,-0.11631137724550901,76.0,-25.0,0.11631137724550901
1977.0,37.0,31.1725,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1984.0,36.0,30.119999999999997,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1975.0,36.0,30.1875,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1971.0,37.0,31.217499999999998,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1972.0,36.0,30.21,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1976.0,38.0,32.18,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1978.0,37.0,31.165,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1976.0,36.0,30.18,1.0692307692307692,0.985,-0.07877697841726618,76.0,-25.0,0.07877697841726618
1969.0,38.0,32.2325,1.0692307692307692,1.023,-0.04323741007194251,76.0,-25.0,0.04323741007194251
1967.0,37.0,31.247500000000002,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1961.0,38.0,32.2925,1.0692307692307692,0.938,-0.12273381294964032,76.0,-25.0,0.12273381294964032
1955.0,38.0,32.3375,1.0692307692307694,1.015,-0.05071942446043192,76.0,-25.0,0.05071942446043192
1951.0,37.0,31.367499999999996,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1940.0,36.0,30.450000000000003,1.0692307692307692,1.0,-0.0647482014388489,76.0,-25.0,0.0647482014388489
1938.0,39.0,33.465,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1935.0,37.0,31.487500000000004,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1931.0,37.0,31.5175,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1915.0,39.0,33.6375,1.0692307692307692,1.0,-0.0647482014388489,76.0,-25.0,0.0647482014388489
1907.0,38.0,32.6975,1.0692307692307692,0.962,-0.10028776978417267,76.0,-25.0,0.10028776978417267
1905.0,38.0,32.7125,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1899.0,37.0,31.757500000000004,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1898.0,39.0,33.765,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1905.0,39.0,33.7125,1.0692307692307694,1.015,-0.05071942446043192,76.0,-25.0,0.05071942446043192
1901.0,38.0,32.7425,1.0692307692307692,1.023,-0.04323741007194251,76.0,-25.0,0.04323741007194251
1909.0,38.0,32.6825,1.0692307692307694,1.015,-0.05071942446043192,76.0,-25.0,0.05071942446043192
1904.0,37.0,31.72,1.0692307692307694,1.015,-0.05071942446043192,76.0,-25.0,0.05071942446043192
1904.0,39.0,33.72,1.0692307692307694,0.946,-0.1152517985611513,76.0,-25.0,0.1152517985611513
1898.0,39.0,33.765,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1896.0,38.0,32.78,1.0692307692307692,0.938,-0.12273381294964032,76.0,-25.0,0.12273381294964032
1902.0,37.0,31.735,1.0692307692307694,1.015,-0.05071942446043192,76.0,-25.0,0.05071942446043192
1899.0,37.0,31.757500000000004,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1901.0,39.0,33.7425,1.0692307692307692,0.946,-0.1152517985611511,76.0,-25.0,0.1152517985611511
1895.0,39.0,33.7875,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1894.0,38.0,32.795,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1897.0,37.0,31.7725,1.0692307692307694,1.015,-0.05071942446043192,76.0,-25.0,0.05071942446043192
1895.0,38.0,32.7875,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1899.0,39.0,33.7575,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1907.0,38.0,32.6975,1.0692307692307692,1.023,-0.04323741007194251,76.0,-25.0,0.04323741007194251
1886.0,37.0,31.855,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1857.0,37.0,32.072500000000005,1.0692307692307694,1.008,-0.05726618705035988,76.0,-25.0,0.05726618705035988
1842.0,37.0,32.185,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1850.0,38.0,33.125,1.0692307692307694,1.0,-0.06474820143884909,76.0,-25.0,0.06474820143884909
1843.0,38.0,33.1775,1.0692307692307692,0.985,-0.07877697841726618,76.0,-25.0,0.07877697841726618
1847.0,40.0,35.1475,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1848.0,39.0,34.14,1.0692307692307694,1.008,-0.05726618705035988,76.0,-25.0,0.05726618705035988
1855.0,39.0,34.0875,1.0692307692307694,0.938,-0.1227338129496405,76.0,-25.0,0.1227338129496405
1861.0,39.0,34.042500000000004,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1873.0,38.0,32.9525,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1871.0,37.0,31.9675,1.0692307692307692,0.946,-0.1152517985611511,76.0,-25.0,0.1152517985611511
1874.0,39.0,33.945,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1879.0,40.0,34.9075,1.0692307692307692,1.0,-0.0647482014388489,76.0,-25.0,0.0647482014388489
1884.0,39.0,33.870000000000005,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1865.0,38.0,33.0125,1.0692307692307692,1.023,-0.04323741007194251,76.0,-25.0,0.04323741007194251
1842.0,39.0,34.185,1.0692307692307692,1.023,-0.04323741007194251,76.0,-25.0,0.04323741007194251
1829.0,38.0,33.2825,1.0692307692307694,1.031,-0.0357553956834535,76.0,-25.0,0.0357553956834535
1834.0,38.0,33.245,1.0692307692307692,1.023,-0.04323741007194251,76.0,-25.0,0.04323741007194251
1837.0,38.0,33.222500000000004,1.0692307692307692,1.023,-0.04323741007194251,76.0,-25.0,0.04323741007194251
1846.0,37.0,32.155,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1846.0,38.0,33.155,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1835.0,38.0,33.2375,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1820.0,39.0,34.35,1.0692307692307694,1.015,-0.05071942446043192,76.0,-25.0,0.05071942446043192
1826.0,40.0,35.305,1.0692307692307694,1.023,-0.043237410071942706,76.0,-25.0,0.043237410071942706
1829.0,40.0,35.2825,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1827.0,40.0,35.2975,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1817.0,40.0,35.3725,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1816.0,40.0,35.379999999999995,1.069230769230769,0.931,-0.1292805755395681,76.0,-25.0,0.1292805755395681
1813.0,39.0,34.4025,1.0692307692307694,1.0,-0.06474820143884909,76.0,-25.0,0.06474820143884909
1821.0,39.0,34.3425,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1817.0,39.0,34.3725,1.0692307692307692,0.931,-0.1292805755395683,76.0,-25.0,0.1292805755395683
1810.0,39.0,34.425,1.0692307692307692,1.008,-0.057266187050359685,76.0,-25.0,0.057266187050359685
1813.0,39.0,34.4025,1.0692307692307694,1.008,-0.05726618705035988,76.0,-25.0,0.05726618705035988
1809.0,39.0,34.4325,1.0692307692307694,1.015,-0.05071942446043192,76.0,-25.0,0.05071942446043192
1815.0,39.0,34.3875,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1817.0,39.0,34.3725,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1820.0,39.0,34.35,1.0692307692307694,1.015,-0.05071942446043192,76.0,-25.0,0.05071942446043192
1811.0,39.0,34.417500000000004,1.0692307692307694,1.015,-0.05071942446043192,76.0,-25.0,0.05071942446043192
1807.0,39.0,34.4475,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1797.0,39.0,34.52250000000001,1.0689076923076923,1.015,-0.050432504785618795,76.0,-25.0,0.050432504785618795
1790.0,39.0,34.575,1.0681538461538462,1.015,-0.04976235056891849,76.0,-25.0,0.04976235056891849
1798.0,39.0,34.515,1.0690153846153847,1.015,-0.05052816394669447,76.0,-25.0,0.05052816394669447
1801.0,39.0,34.4925,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1809.0,39.0,34.4325,1.0692307692307694,1.023,-0.043237410071942706,76.0,-25.0,0.043237410071942706
1812.0,39.0,34.41,1.0692307692307692,1.023,-0.04323741007194251,76.0,-25.0,0.04323741007194251
1832.0,38.0,33.26,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1840.0,38.0,33.2,1.0692307692307692,1.015,-0.05071942446043173,76.0,-25.0,0.05071942446043173
1817.0,38.0,33.3725,1.0692307692307692,1.0,-0.0647482014388489,76.0,-25.0,0.0647482014388489
1798.0,38.0,33.515,1.0690153846153847,0.931,-0.1291051434821403,76.0,-25.0,0.1291051434821403
1791.0,38.0,33.567499999999995,1.0682615384615384,1.008,-0.056410847242824344,76.0,-25.0,0.056410847242824344
1786.0,39.0,34.605,1.067723076923077,1.0,-0.06342756692890701,76.0,-25.0,0.06342756692890701
1793.0,39.0,34.5525,1.068476923076923,0.931,-0.12866625390563127,76.0,-25.0,0.12866625390563127
1804.0,39.0,34.47,1.0692307692307694,1.015,-0.05071942446043192,76.0,-25.0,0.05071942446043192
1804.0,39.0,34.47,1.0692307692307694,1.015,-0.05071942446043192,76.0,-25.0,0.05071942446043192
1811.0,38.0,33.417500000000004,1.069230769230769,1.015,-0.050719424460431525,76.0,-25.0,0.050719424460431525
1828.0,38.0,33.29,1.0692307692307692,1.023,-0.04323741007194251,76.0,-25.0,0.04323741007194251
1828.0,38.0,33.29,1.0692307692307692,1.023,-0.04323741007194251,76.0,-25.0,0.04323741007194251
1830.0,38.0,33.275,1.0692307692307692,1.0,-0.0647482014388489,76.0,-25.0,0.0647482014388489
1807.0,39.0,34.4475,1.0692307692307692,1.0,-0.0647482014388489,76.0,-25.0,0.0647482014388489
1778.0,39.0,34.66499999999999,1.0668615384615383,1.0,-0.06267124275372754,76.0,-25.0,0.06267124275372754
1780.0,39.0,34.65,1.067076923076923,1.008,-0.05536332179930791,76.0,-25.0,0.05536332179930791
1784.0,38.0,33.620000000000005,1.0675076923076925,1.008,-0.05574450913702673,76.0,-25.0,0.05574450913702673
1794.0,38.0,33.545,1.0685846153846155,1.015,-0.05014541161565279,76.0,-25.0,0.05014541161565279
1799.0,39.0,34.5075,1.069123076923077,1.015,-0.05062380383635784,76.0,-25.0,0.05062380383635784
1799.0,39.0,34.5075,1.069123076923077,1.023,-0.0431410357877774,76.0,-25.0,0.0431410357877774
1804.0,38.0,33.47,1.0692307692307692,1.023,-0.04323741007194251,76.0,-25.0,0.04323741007194251
1793.0,39.0,34.5525,1.068476923076923,1.023,-0.04256238211112882,76.0,-25.0,0.04256238211112882
1777.0,39.0,34.6725,1.0667538461538462,1.023,-0.04101587850992957,76.0,-25.0,0.04101587850992957
1773.0,39.0,34.7025,1.066323076923077,0.992,-0.06970033616597655,76.0,-25.0,0.06970033616597655
1776.0,39.0,34.68,1.066646153846154,1.023,-0.04091905613569516,76.0,-25.0,0.04091905613569516
1778.0,40.0,35.665,1.0668615384615383,1.023,-0.04111268133706337,76.0,-25.0,0.04111268133706337
1781.0,40.0,35.6425,1.0671846153846154,0.962,-0.09856271714215697,76.0,-25.0,0.09856271714215697
1783.0,40.0,35.6275,1.0674,1.031,-0.03410155518081318,76.0,-25.0,0.03410155518081318
1777.0,40.0,35.6725,1.0667538461538462,1.031,-0.0335164914406035,76.0,-25.0,0.0335164914406035
1776.0,40.0,35.68000000000001,1.0666461538461538,0.962,-0.09810765591645992,76.0,-25.0,0.09810765591645992
1767.0,40.0,35.7475,1.065676923076923,1.023,-0.04004677417026374,76.0,-25.0,0.04004677417026374
1770.0,40.0,35.724999999999994,1.066,1.023,-0.040337711069418525,76.0,-25.0,0.040337711069418525
1779.0,40.0,35.6575,1.0669692307692307,0.954,-0.10587862096809074,76.0,-29.0,0.10587862096809074
1784.0,39.0,34.620000000000005,1.0675076923076925,1.023,-0.0416930881420421,76.0,-29.0,0.0416930881420421
1776.0,39.0,34.68,1.066646153846154,1.023,-0.04091905613569516,76.0,-29.0,0.04091905613569516
1776.0,39.0,34.68,1.066646153846154,1.023,-0.04091905613569516,76.0,-29.0,0.04091905613569516
1773.0,39.0,34.7025,1.066323076923077,1.023,-0.040628471671163395,76.0,-27.0,0.040628471671163395
1771.0,39.0,34.7175,1.0661076923076922,1.023,-0.04043465085068616,76.0,-27.0,0.04043465085068616
2379.0,43.0,41.2375,1.0692307692307692,1.0,-0.0647482014388489,76.0,-25.0,0.0647482014388489
2379.0,43.0,41.2375,1.0692307692307692,1.0,-0.0647482014388489,76.0,-25.0,0.0647482014388489
2385.0,42.0,40.47916666666667,1.0692307692307692,1.0,-0.0647482014388489,76.0,-25.0,0.0647482014388489
2387.0,42.0,40.50416666666667,1.0692307692307692,1.0,-0.0647482014388489,76.0,-25.0,0.0647482014388489
2383.0,44.0,42.12083333333334,1.0692307692307692,1.0,-0.0647482014388489,76.0,-25.0,0.0647482014388489
2377.0,42.0,40.37916666666667,1.0692307692307692,0.931,-0.1292805755395683,76.0,-25.0,0.1292805755395683
